currentTime,Elance,lista
1351133492,500,25;30;30;30;30;30;30;30;35;35;45;50;50;60;60;60;70;75;100;100;100;200;200;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;1000;1000;1000;1000;5000;5000;500000
1351219877,500,20;25;30;30;30;30;30;30;30;30;30;40;45;45;50;50;50;50;50;50;60;60;80;100;100;100;100;100;100;100;100;110;140;150;150;200;200;240;400;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;2000;5000;5000;5000;5000
1351306262,500,20;20;20;20;20;22;25;25;25;25;25;28;30;40;40;45;50;50;50;50;50;50;55;55;55;60;60;60;60;60;70;70;100;100;100;100;100;100;100;120;130;140;140;150;150;240;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;5000;5000;5000;5000;5000;5000;5000;5000;5000
1351392645,500,20;20;20;20;20;20;20;25;25;25;28;30;30;35;35;40;40;40;40;40;40;40;50;50;50;55;55;55;60;60;70;70;75;75;75;75;90;100;100;100;100;100;100;120;130;150;250;250;250;260;270;300;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;5000;5000;5000;5000;5000;5000;5000
1351479130,500,20;20;20;20;20;20;20;25;25;25;25;25;25;30;30;30;40;40;40;40;40;40;40;40;40;40;50;50;50;50;50;50;50;60;60;60;75;75;95;100;100;100;100;100;100;140;150;150;230;250;250;250;260;270;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;5000;5000;5000
1351565448,500,20;20;20;20;25;25;25;30;35;35;40;50;50;50;50;50;60;60;60;63;65;70;70;100;100;100;100;100;100;100;100;100;100;100;100;100;100;110;120;140;150;150;150;175;175;200;250;250;300;400;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;850;850;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;2000;2000;2000;5000;5000;5000;5000;5000;5000;5000;5000;10000
1351651822,500,20;20;20;20;20;20;20;20;20;20;20;25;25;25;30;30;30;30;34;35;35;40;40;40;40;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;60;60;60;70;75;75;80;80;99;100;100;100;100;100;100;100;100;100;100;100;120;125;150;160;200;200;200;200;250;250;300;300;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;650;650;658;1000;1000;1000;1000;1000;1000;1000;1000;1000;2000;2000;5000;5000;5000;5000;5000
1351738240,500,20;20;20;20;20;20;25;25;25;30;30;30;35;35;40;40;40;40;40;44;50;50;50;50;50;50;50;50;50;50;60;60;75;75;80;100;100;100;100;100;100;125;125;130;150;150;150;150;150;160;200;200;250;250;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;658;1000;1000;1000;1000;1000;1000;1000;1000;2200;5000;5000;5000;5000;5000;5000;5000;10000
1351824659,500,20;20;20;20;20;25;25;25;25;25;30;30;30;30;30;30;30;35;36;40;40;40;40;45;50;50;50;50;50;50;50;55;60;75;75;75;75;80;80;80;100;100;100;100;100;100;100;100;100;120;125;150;150;150;150;150;160;180;200;200;200;250;250;300;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;502;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1200;5000;5000;5000;8000;10000;10000;10000;10000;10000
1351911048,500,20;20;20;20;20;25;25;30;30;30;30;30;40;40;40;45;50;50;50;55;60;70;70;75;75;80;100;100;100;100;110;120;125;150;150;150;150;150;160;200;200;200;250;250;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;502;750;1000;1000;1000;1000;1000;1000;1000;1000;5000;5000;5000;10000;10000;10000
